object_id,title,alt_text,featured,creator,description,source_url,period,year,medium_genre,subjects,source,credit,thumbnail,dimensions
id_objeto,titulo,texto_alt,destacado,creador,descripcion,url_fuente,periodo,año,medio_genero,temas,fuente,credito,miniatura,dimensiones
# Make it lower-case and avoid spaces. If you are referring to a local object please ensure the object_id matches the name of the file exactly (with or without the file extension – it doesn't matter).,# Please provide a title — this is required.,"# Describe what the image shows for screen readers. Mention the subject and key details. Avoid ""Image of..."" — describe the content directly. If empty, the title is used.","# Mark ""yes"" to feature on homepage",# The person or organization that created the original object.,"# A brief description of the object, shown on the objects page of your published site.",# Here you can include a IIIF manifest and Telar will do the rest of the work for you.,"# The historical period this object belongs to (e.g. ""Colonial period"", ""19th century"").",# In YYYY format — for filtering and sorting chronologically.,"# The medium or genre of the object (e.g. ""Map"", ""Photograph"", ""Engraving"").",# Comma-separated terms for gallery filtering,"# This will be overlaid over the viewer, unless you specify otherwise in _config.yml.","# Attribution line shown on the published site (e.g. ""Courtesy of UCSB Library"").","# Telar generates thumbnails automatically, but you can override this by specifying an image file in this column."
"# Escríbelo en minúsculas y sin espacios. Si hace referencia a un objeto local, asegúrate de que el object_id coincida exactamente con el nombre del archivo (con o sin extensión; no importa).",# Incluye un título: este campo es obligatorio.,"# Describe lo que muestra la imagen para lectores de pantalla. Menciona el sujeto y los detalles clave. Evita ""Imagen de..."" — describe el contenido directamente. Si se deja vacío, se usa el título.","# Marca ""sí"" para destacar en la página de inicio",# La persona u organización que creó el objeto original.,"# Una breve descripción del objeto, que se muestra en la página de objetos de tu sitio publicado.",# Aquí puedes incluir un manifiesto IIIF y Telar se encargará del resto del trabajo.,"# El período histórico al que pertenece este objeto (por ejemplo, ""Período colonial"", ""Siglo XIX"").",# En formato AAAA — para filtrar y ordenar cronológicamente.,"# El medio o género del objeto (por ejemplo, ""Mapa"", ""Fotografía"", ""Grabado"").",# Términos separados por comas para filtrado de galería,"# Esto se mostrará encima del visor, a menos que indiques lo contrario en _config.yml.","# Línea de atribución que se muestra en el sitio publicado (por ejemplo, ""Cortesía de la Biblioteca de UCSB"").","# Telar genera miniaturas automáticamente, pero puedes anular este comportamiento especificando un archivo de imagen en esta columna."
telar-placeholder,Telar placeholder,Telar placeholder,,Adelaida Ávila,,,,2026,,,,,,
sa1840educacionen-english-first,"sa1840-educacion-en (English, first edition) — p. (1)","sa1840-educacion-en (English, first edition) — p. (1)",,,,https://juancobo.com/rodriguez/iiif/sa1840-educacion-en/manifest.json,,,,,,,"https://s3.us-west-001.backblazeb2.com/juancobo-rodriguez-iiif/sa1840-educacion-en/full/241,330/0/default.jpg",
sa1842cycleenp1-english-first,"sa1842-cycle-en-p1 (English, first edition) — p. (1) - pg 87 social education","sa1842-cycle-en-p1 (English, first edition) — p. (1) - pg 87 social education",,,,https://juancobo.com/rodriguez/iiif/sa1842-cycle-en-p1/manifest.json,,,,,,,"https://s3.us-west-001.backblazeb2.com/juancobo-rodriguez-iiif/sa1842-cycle-en-p1/full/241,330/0/default.jpg",
sa1842cycleenp2-english-first,"sa1842-cycle-en-p2 (English, first edition) — p. (2) - social education pg 88","sa1842-cycle-en-p2 (English, first edition) — p. (2) - social education pg 88",,,,https://juancobo.com/rodriguez/iiif/sa1842-cycle-en-p2/manifest.json,,,,,,,"https://s3.us-west-001.backblazeb2.com/juancobo-rodriguez-iiif/sa1842-cycle-en-p2/full/241,330/0/default.jpg",
sa1840imprentaenp1-english-first,"sa1840-imprenta-en-p1 (English, first edition) — p. (1) Freedom of Press pg 60","sa1840-imprenta-en-p1 (English, first edition) — p. (1) Freedom of Press pg 60",,,,https://juancobo.com/rodriguez/iiif/sa1840-imprenta-en-p1/manifest.json,,,,,,,"https://s3.us-west-001.backblazeb2.com/juancobo-rodriguez-iiif/sa1840-imprenta-en-p1/full/600,822/0/default.jpg",
sa1840imprentaenp2-english-first,"sa1840-imprenta-en-p2 (English, first edition) — p. (2) Freedom of Press pg 61","sa1840-imprenta-en-p2 (English, first edition) — p. (2) Freedom of Press pg 61",,,,https://juancobo.com/rodriguez/iiif/sa1840-imprenta-en-p2/manifest.json,,,,,,,"https://s3.us-west-001.backblazeb2.com/juancobo-rodriguez-iiif/sa1840-imprenta-en-p2/full/600,822/0/default.jpg",
sa1840imprentaenp2-english-first-2,"sa1840-imprenta-en-p2 (English, first edition) — p. (2)","sa1840-imprenta-en-p2 (English, first edition) — p. (2)",,,,https://juancobo.com/rodriguez/iiif/sa1840-imprenta-en-p2/manifest.json,,,,,,,"https://s3.us-west-001.backblazeb2.com/juancobo-rodriguez-iiif/sa1840-imprenta-en-p2/full/600,822/0/default.jpg",
